GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
81488B4A,US2253101016,BUY,628.8205,2021-10-13 15:40:48.000,2021-10-13 20:59:56.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
18887398,ANN4327C1220,SELL,100.7429,2021-10-13 10:20:42.000,2021-10-13 16:35:15.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
CE141B49,ANN4327C1220,SELL,98.1363,2021-10-12 09:18:42.000,2021-10-12 16:35:12.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
A5DC90F8,ANN4327C1220,SELL,95.8127,2021-10-11 08:24:07.000,2021-10-11 16:35:06.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
B910A802,US4523271090,SELL,410.4968,2021-10-08 16:31:59.000,2021-10-08 16:32:10.000,XNGS,USD,USD,,SWAP,CFD_OLD,Illumina -CFD,564,ILMN
59ED8CE7,US38046C1099,SELL,15.863,2021-10-08 14:49:28.000,2021-10-08 21:02:04.000,XNGS,USD,USD,,SWAP,CFD_OLD,Gogo -CFD,564,GOGO
B0AF8F92,ANN4327C1220,SELL,96.4061,2021-10-08 10:10:07.000,2021-10-08 16:35:20.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
CD403C1F,US97717P1049,BUY,5.7984,2021-10-07 12:08:21.000,2021-10-07 20:59:54.000,XNGS,USD,USD,,SWAP,CFD_OLD,WisdomTree Investments -CFD,564,WETF
55ED50BD,FR0000120107,SELL,64.2071,2021-10-07 07:56:19.000,2021-10-07 08:57:01.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
F4E06D7D,US88160R1014,BUY,781.0202,2021-10-06 14:34:00.000,2021-10-06 20:59:22.000,XNGS,USD,USD,,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
