time,open,high,low,close,Volume,Volume MA
1418394600,2030.36,2032.25,2002.33,2002.33,4157650000,3512507500
1418653800,2005.03,2018.69,1982.26,1989.63,4361990000,3569250500
1418740200,1986.71,2016.89,1972.56,1972.74,4958680000,3659540000
1418826600,1973.77,2016.75,1973.77,2012.89,4942370000,3735849000
1418913000,2018.98,2061.23,2018.98,2061.23,4703380000,3801475500
1418999400,2061.04,2077.85,2061.03,2070.65,6465530000,3968337500
1419258600,2069.28,2078.76,2069.28,2078.54,3369520000,3940992500
1419345000,2081.48,2086.73,2079.77,2082.17,3043950000,3936787000
1419431400,2083.25,2087.56,2081.86,2081.88,1416980000,3837989000
1419604200,2084.3,2092.7,2084.3,2088.77,1735230000,3787487500
1419863400,2087.63,2093.55,2085.75,2090.57,2452360000,3784873500
1419949800,2088.49,2088.49,2079.53,2080.35,2440280000,3698937000
1420036200,2082.11,2085.58,2057.94,2058.9,2606070000,3644908000
1420209000,2058.9,2072.36,2046.04,2058.2,2708700000,3599709000
1420468200,2054.44,2054.44,2017.34,2020.58,3799120000,3619248000
1420554600,2022.15,2030.25,1992.44,2002.61,4460110000,3671272500
1420641000,2005.55,2029.61,2005.55,2025.9,3805480000,3671497000
1420727400,2030.61,2064.08,2030.61,2062.14,3934010000,3669690000
1420813800,2063.45,2064.43,2038.33,2044.81,3364140000,3632175000
1421073000,2046.13,2049.3,2022.58,2028.26,3456460000,3609100500
1421159400,2031.58,2056.93,2008.25,2023.03,4107300000,3606583000
1421245800,2018.4,2018.4,1988.44,2011.27,4378680000,3607417500
1421332200,2013.75,2021.35,1991.47,1992.67,4276720000,3573319500
1421418600,1992.25,2020.46,1988.12,2019.42,4056410000,3529021500
1421764200,2020.76,2028.94,2004.49,2022.55,3944340000,3491069500
1421850600,2020.19,2038.29,2012.04,2032.12,3730070000,3354296500
1421937000,2034.3,2064.62,2026.38,2063.15,4176050000,3394623000
1422023400,2062.98,2062.98,2050.54,2051.82,3573560000,3421103500
1422282600,2050.42,2057.62,2040.97,2057.09,3465760000,3523542500
1422369000,2047.86,2047.86,2019.91,2029.55,3329810000,3603271500
1422455400,2032.34,2042.49,2001.49,2002.16,4067530000,3684030000
1422541800,2002.45,2024.64,1989.18,2021.25,4127140000,3768373000
1422628200,2019.35,2023.32,1993.38,1994.99,4568650000,3866502000
1422887400,1996.67,2021.66,1980.9,2020.85,4008330000,3931483500
1422973800,2022.71,2050.3,2022.71,2050.03,4615900000,3972322500
1423060200,2048.86,2054.74,2036.72,2041.51,4141920000,3956413000
1423146600,2043.45,2063.55,2043.45,2062.52,3821990000,3957238500
1423233000,2062.28,2072.4,2049.97,2055.47,4232970000,3972186500
1423492200,2053.47,2056.16,2041.88,2046.74,3549540000,3981456500
1423578600,2049.38,2070.86,2048.62,2068.59,3669850000,3992126000
1423665000,2068.55,2073.48,2057.99,2068.53,3596860000,3966604000
1423751400,2069.98,2088.53,2069.98,2088.48,3788350000,3937087500
1423837800,2088.78,2097.03,2086.7,2096.99,3527450000,3899624000
1424183400,2096.47,2101.3,2089.8,2100.34,3361750000,3864891000
1424269800,2099.16,2100.23,2092.15,2099.68,3370020000,3836175000
1424356200,2099.25,2102.13,2090.79,2097.45,3247100000,3812026500
1424442600,2097.65,2110.61,2085.44,2110.3,3281600000,3767304000
1424701800,2109.83,2110.05,2103,2109.66,3093680000,3743310000
1424788200,2109.1,2117.94,2105.87,2115.48,3199840000,3730014000
1424874600,2115.3,2119.59,2109.89,2113.86,3312340000,3729140500
1424961000,2113.91,2113.91,2103.76,2110.74,3408690000,3696198500
1425047400,2110.88,2112.74,2103.75,2104.5,3547380000,3667210500
1425306600,2105.23,2117.52,2104.5,2117.39,3409490000,3609252500
1425393000,2115.76,2115.76,2098.26,2107.78,3262300000,3571951000
1425479400,2107.72,2107.72,2087.62,2098.53,3421110000,3512211500
1425565800,2098.54,2104.25,2095.22,2101.04,3103030000,3460267000
1425652200,2100.91,2100.91,2067.27,2071.26,3853570000,3461846000
1425907800,2072.25,2083.49,2072.21,2079.43,3349090000,3417652000
1425994200,2076.14,2076.14,2044.16,2044.16,3668900000,3423620000
1426080600,2044.69,2050.08,2039.69,2040.24,3406570000,3410456000
1426167000,2041.1,2066.41,2041.1,2065.95,3405860000,3400906000
1426253400,2064.56,2064.56,2041.17,2053.4,3498560000,3386416500
1426512600,2055.35,2081.41,2055.35,2081.19,3295600000,3374824000
1426599000,2080.59,2080.59,2065.08,2074.28,3221840000,3367828500
1426685400,2072.84,2106.85,2061.23,2099.5,4128210000,3405738000
1426771800,2098.69,2098.69,2085.56,2089.27,3305220000,3408644000
1426858200,2090.32,2113.92,2090.32,2108.1,5554120000,3522270000
1427117400,2107.99,2114.86,2104.42,2104.42,3267960000,3530984000
1427203800,2103.94,2107.63,2091.5,2091.5,3189820000,3530483000
1427290200,2093.1,2097.43,2061.05,2061.05,3521140000,3540923000
1427376600,2059.94,2067.15,2045.5,2056.15,3510670000,3546022000
1427463000,2055.78,2062.83,2052.96,2061.02,3008550000,3519080500
1427722200,2064.11,2088.97,2064.11,2086.24,2917690000,3494490500
1427808600,2084.05,2084.05,2067.04,2067.89,3376550000,3500203000
1427895000,2067.63,2067.63,2048.38,2059.69,3543270000,3506311000
1427981400,2060.03,2072.17,2057.32,2066.96,3095960000,3505957500
1428327000,2064.87,2086.99,2056.52,2080.62,3302970000,3478427500
1428413400,2080.79,2089.81,2076.1,2076.33,3065510000,3464248500
1428499800,2076.94,2086.69,2073.3,2081.9,3265330000,3444070000
1428586200,2081.29,2093.31,2074.29,2091.18,3172360000,3432359500
1428672600,2091.51,2102.61,2091.51,2102.06,3156200000,3419876500
1428931800,2102.03,2107.65,2092.33,2092.43,2908420000,3390369500
1429018200,2092.28,2098.62,2083.24,2095.84,3301270000,3390653000
1429104600,2097.82,2111.91,2097.82,2106.63,4013760000,3430249000
1429191000,2105.96,2111.3,2100.02,2104.99,3434120000,3395544500
1429277400,2102.58,2102.58,2072.37,2081.18,3627600000,3411663500
1429536600,2084.11,2103.94,2084.11,2100.4,3000160000,3283965500
1429623000,2102.82,2109.64,2094.38,2097.29,3243410000,3282738000
1429709400,2098.27,2109.98,2091.05,2107.96,3348480000,3290671000
1429795800,2107.21,2120.49,2103.19,2112.93,3636670000,3296447500
1429882200,2112.8,2120.92,2112.8,2117.69,3375780000,3289703000
1430141400,2119.29,2125.92,2107.04,2108.92,3438750000,3311213000
1430227800,2108.35,2116.09,2094.89,2114.76,3546270000,3342642000
1430314200,2112.49,2113.65,2097.41,2106.85,4074970000,3377563000
1430400600,2105.52,2105.52,2077.59,2085.51,4509680000,3425883500
1430487000,2087.38,2108.41,2087.38,2108.29,3379390000,3440055000
1430746200,2110.23,2120.95,2110.23,2114.49,3091580000,3429485500
1430832600,2112.63,2115.24,2088.46,2089.46,3793950000,3465907500
1430919000,2091.26,2098.42,2067.93,2080.15,3792210000,3492251500
1431005400,2079.96,2092.9,2074.99,2088,3676640000,3517465500
1431091800,2092.13,2117.66,2092.13,2116.1,3399440000,3529627500
1431351000,2115.56,2117.69,2104.58,2105.33,2992670000,3533840000
1431437400,2102.87,2105.06,2085.57,2099.12,3139520000,3525752500
1431523800,2099.62,2110.19,2096.04,2098.48,3374260000,3493777500
1431610200,2100.43,2121.45,2100.43,2121.1,3225740000,3483358500
1431696600,2122.07,2123.89,2116.79,2122.73,3092080000,3456582500
1431955800,2121.3,2131.78,2120.01,2129.2,2888190000,3450984000
1432042200,2129.45,2133.02,2124.5,2127.83,3296030000,3453615000
1432128600,2127.79,2134.72,2122.59,2125.85,3025880000,3437485000
1432215000,2125.55,2134.28,2122.95,2130.82,3070460000,3409174500
1432301400,2130.36,2132.15,2126.06,2126.06,2571860000,3368978500
1432647000,2125.34,2125.34,2099.18,2104.2,3342130000,3364147500
1432733400,2105.13,2126.22,2105.13,2123.48,3127960000,3343232000
1432819800,2122.27,2122.27,2112.86,2120.79,2980350000,3288501000
1432906200,2120.66,2120.66,2104.89,2107.39,3927390000,3259386500
1433165400,2108.64,2119.15,2102.54,2111.73,3011710000,3241002500
1433251800,2110.41,2117.59,2099.14,2109.6,3049350000,3238891000
1433338200,2110.64,2121.92,2109.61,2114.07,3099980000,3204192500
1433424600,2112.35,2112.89,2093.23,2095.84,3200050000,3174584500
1433511000,2095.09,2100.99,2085.67,2092.83,3243690000,3152937000
1433770200,2092.34,2093.01,2079.11,2079.28,2917150000,3128822500
1433856600,2079.07,2085.62,2072.14,2080.15,3034580000,3130918000
1433943000,2081.12,2108.5,2081.12,2105.2,3414320000,3144658000
1434029400,2106.24,2115.02,2106.24,2108.86,3128600000,3132375000
1434115800,2107.43,2107.43,2091.33,2094.11,2719400000,3107058000
1434375000,2091.34,2091.34,2072.49,2084.43,3061570000,3105532500
1434461400,2084.26,2097.4,2082.1,2096.29,2919900000,3107118000
1434547800,2097.4,2106.79,2088.86,2100.44,3222240000,3103428500
1434634200,2101.58,2126.65,2101.58,2121.24,3520360000,3128152500
1434720600,2121.03,2121.64,2109.38,2109.99,4449810000,3197120000
1434979800,2112.5,2129.87,2112.5,2122.85,3030020000,3220028000
