index,Price_1,Price_2,Spread,z_score,z_score_evol,z_score_avg_week,avg_volatility,correlation,corr_evol,month,week,target
100,319.65,120.86,0.0108236988493899,1.4054072095045385,0.6285970676264516,1.3176834084941178,0.2082929800732035,-0.1526595799608533,-0.0034176284144972,1,4,0
101,315.2,112.37,0.0255437090961579,1.4886944565230678,-0.605762406544289,2.164355485894832,0.2439651008628507,-0.0466860244758108,-0.0354771906496983,1,5,0
102,319.69,115.79,-0.0068778302630636,-0.4862984649309019,0.3879914719621011,-0.2672193026633738,0.2726242098411519,0.1486908229062411,-0.0284110855024631,2,6,0
103,323.97,118.88,-0.0056619982142583,-0.5412027251219262,-0.4932474353946491,-0.1951490348960189,0.294999377520487,0.0308972610757008,0.0338645264964476,2,7,-1
104,304.5,122.76,-0.0408655822671723,-1.9033373020003093,0.1964941642523863,-1.7228768099306904,0.3069561864491972,-0.0052285470056298,-0.0354243325777896,2,8,0
105,272.62,109.05,0.0034016263374909,0.2362020936013463,-0.3359271860853028,-0.4639644226609449,0.3642972721334347,0.3182977726911652,0.1945284225944272,2,9,0
106,269.45,107.0,0.0031623667002344,0.2293316208780405,0.374511709492429,0.4079344725185017,0.421779085176559,0.5758624074807797,0.032208975798471,3,10,0
107,234.22,99.79,-0.0305574562320904,-1.3745696145755293,-0.8322527167692724,-0.1690710282366412,0.6469572277684013,0.8583521512228466,0.0618925434147549,3,11,0
108,192.22,85.08,-0.0165658623304423,0.0437588253600506,1.242049522771534,-1.9819711813591452,1.0921828032905196,0.944307723395688,0.0043215543281085,3,12,1
109,230.69,88.67,0.0612809688889708,1.7695715103737468,-0.8236957170721197,1.7679301589215135,1.1642125539931507,0.9619133530617782,-0.0051126939010277,3,13,0
110,234.26,86.56,0.017128830614114,0.3209229504921657,0.0610030479263274,1.0505407009091423,1.1856861240487278,0.9105155191157214,-0.0171211890612198,4,14,0
111,259.92,99.67,-0.0161056511114019,-0.438018243190109,0.1337568199985976,-0.343392985464818,1.2150361801315896,0.8515205970943343,-0.007042898529882,4,16,0
112,258.28,100.91,-0.0081186685158912,-0.2048557305099677,-0.2238867068058531,-0.1702281619993679,1.204502890922639,0.8064174153135965,-0.0045598558129743,4,17,0
113,268.45,108.03,-0.0128375393517847,-0.3167548668632997,0.0276346676552247,-0.1718761222477589,1.1057725160199632,0.8113888489293165,0.0045685582005414,4,18,0
114,262.26,103.4,0.0088924859070636,-0.0408678361639132,0.2252013677598325,-0.391942182607678,0.6543747450793602,0.8607931061427985,0.0196647694311992,5,19,0
115,275.4,108.42,0.0006430148609568,-0.1057409420575006,0.1064571544643637,-0.0688777009333185,0.5401433337562294,0.9764063148683664,0.0005684990391124,5,20,0
116,273.53,108.34,-0.0026383987502097,0.1292436316162302,-1.1116063502269813,0.4567781507964047,0.5178468581553846,0.9585121178279808,-0.0092990602684933,5,21,0
117,282.02,112.7,-0.003860142017963,-0.0726237950180862,0.786646075892746,-0.3555122430966874,0.4669873353842868,0.933117227614774,-0.0011864267950973,5,22,0
118,298.06,116.8,0.0085048621320234,0.82768885948164,-0.5441063457775278,1.158182603035156,0.4559058673123466,0.931113636917648,0.0002333037461366,6,23,0
119,315.32,123.385,0.0006282981256771,0.0078998173858028,0.0912336232907821,-0.0782317672758379,0.4173930699720061,0.9680608579203428,0.0048103895216292,6,24,0
120,310.72,122.69,-0.0039291106992392,-0.6801594114813632,-0.4023195469304044,-0.2271463740513163,0.4183403249182744,0.9822566276788242,-0.0008772721442901,6,25,0
121,311.3,123.25,-0.0011678490333701,-0.2952699296130472,-0.8550263700037066,0.0857194052940397,0.4364651241783991,0.9786783294411834,-0.0016060589634799,6,26,0
122,315.61,122.64,0.0081264206549515,0.764082329681407,0.8710946282106892,0.3403073122673296,0.3961018867028956,0.9590392305282548,-0.0083707028602839,6,27,0
123,319.57,122.86,0.0046368782915292,0.2584436288369761,1.6922407126084504,-0.2700868668234665,0.3619066464840762,0.9493369789039522,-0.0055461232551979,7,28,0
124,313.78,117.9,0.0099559618946889,1.1795889732343872,-1.4409779559250857,0.7299977475280254,0.3633037227086999,0.790801938943967,-0.0932182185722427,7,29,0
125,313.8,113.88,0.0150940272015829,1.3583347516020097,0.3346552707498735,1.4055128884055086,0.3438277056510139,0.5187842479017163,-0.0834095833353044,7,30,-1
126,308.85,117.53,-0.0206066112545934,-2.5850723788835244,-0.5099967247423103,-0.8293353191951474,0.2845161175061521,0.4854360380901658,0.0391113165163563,7,31,1
127,329.54,116.17,0.0332152784882788,2.3652198169953365,0.6740118985518007,0.605795499329084,0.2507679747196728,0.3468334246653365,-0.1076306995326302,8,32,0
128,333.64,119.22,-0.0058851529802319,-0.9724323846088688,-0.1458728019773456,-0.0832885145933462,0.2419055224348203,0.2059452352233565,-0.0032958633475598,8,33,0
129,329.21,118.15,-0.0018897022375054,-0.6283607104290485,-0.2420451500267237,-0.5364671930501282,0.2292494317784986,0.3476998256681786,0.0712388605238307,8,34,0
130,339.67,120.51,0.004994811990007,-0.0175003821735113,0.241934633841205,-0.1112487394365842,0.1927640576166369,0.6668877419502056,0.0764702979031415,8,35,1
131,375.01,121.83,0.0382544997678349,2.372004985570196,0.0853277741136202,1.2459679123162697,0.221709330322609,0.728659365588485,-0.0302343230440305,9,36,0
132,357.08,114.27,0.0065446941714243,-0.2571782078883911,-0.5365954770771424,0.7145580494133974,0.2897569474437891,0.3077013785377404,-0.1326604156340046,9,37,0
133,365.92,115.49,0.0060084671949935,-0.3320951987332812,-0.1113245276421791,-0.0108384137252934,0.2842101457626319,-0.1376822980045326,-0.0415018752215788,9,38,0
134,352.52,112.68,-0.0055048427798624,-1.1143074126876569,0.1232889999817845,-1.167981605762528,0.2929625442927119,-0.3153535535403783,-0.0178743527865276,9,39,0
135,368.6,118.99,-0.0042920567777046,-1.0277583261893348,-0.2937177099195983,-0.6894320132593268,0.307902294660298,-0.2091354453409215,0.0326897229127936,10,40,0
136,373.33,120.34,0.000638016789627,-0.5357915218646019,0.4088797921421465,-0.6450104443011393,0.3385522136608581,0.0616309469717469,0.1578184633192844,10,41,0
137,379.93,123.98,-0.0053309275315753,-0.7330814540967125,-0.4178813016914172,-0.9984971231878816,0.321767115186223,0.913567809074826,0.0292118248220437,10,42,0
138,373.37,124.75,-0.0102530901337468,-1.1134271207894977,0.7482525875386183,-0.6596741564963713,0.2420623208897346,0.9424775195338954,-0.0174578852533444,10,43,0
139,355.01,118.48,0.0004966755340715,0.8066560987365599,0.1735695956673081,-0.2683469023967663,0.2779239955772905,0.8655719200954638,-0.0202398375402366,10,44,0
140,380.87,130.4,-0.0110963664927579,-1.1249554063278524,0.3353431235566462,-0.6982920580251953,0.3019147525976766,0.7222082692704668,-0.0591409807066375,11,45,-1
141,370.2,135.48,-0.0289379480799673,-1.886988259713688,-0.2387361443610083,-2.384359864621329,0.3162121132160445,0.5578747209163677,-0.0085993385422111,11,46,1
142,384.33,136.17,0.01406162200418,1.7035977444935997,-0.4905826602929803,1.2657478522274614,0.2906875003290129,0.5549499900918786,0.013580664983172,11,47,0
143,394.95,137.75,0.006827662189454,0.8318592026574668,0.2495817243107364,1.069987012809082,0.2844972401633391,0.7553986169719107,0.0403599234375529,11,48,0
144,411.68,143.97,-0.0011627464237391,0.1901135316806251,0.0453452924493897,0.4776838004615821,0.294761318128479,0.8774022932310654,0.0085566431346731,12,49,0
145,405.82,141.15,0.0023647998336205,0.3008076799672257,-0.2674154055240759,0.5583690958415967,0.273416483783866,0.8904269780153931,-0.0090338855406939,12,50,0
146,434.56,144.56,0.0193490446637052,1.2626979514739078,0.5998378902009897,0.4734660603340915,0.2316947897603091,0.893170962931139,0.014548063654142,12,51,0
147,431.88,144.68,-0.0030470161005594,-1.1031041284856944,-0.9356896391933532,0.0361273366886591,0.2020664169011669,0.9324880217779056,0.0081405878364064,12,53,-1
148,428.1,148.63,-0.0155158425691405,-2.4309565411708745,-0.2694832329712744,-1.658413213586065,0.2074260351161935,0.938055510277374,-0.0081457636196282,1,1,0
149,449.39,159.09,-0.0084582277781013,-0.7739894199399822,0.6457832723660217,-1.7689062615792683,0.228857928980656,0.8213150178396762,-0.0142622610922493,1,2,0
150,461.88,159.83,0.0098903354222571,0.9960717825016882,0.2418746420900228,0.3045379011621896,0.2249530775473168,0.8851201267542491,0.0201734704876352,1,3,0
151,444.7,147.48,0.0184631428288865,1.2384071461726895,-0.1763525469222733,1.6209853918642845,0.2547408208562989,0.8577153632444102,-0.0130943701332929,1,4,0
152,465.19,147.58,0.0192688637813373,1.1506565338339727,-0.1036387632953732,0.8149966132002519,0.2817649518048676,0.6851602067228727,-0.0679151280770189,2,5,0
153,470.05,153.23,-0.0118026088593904,-1.0432046487899898,-0.4704725502303695,-0.0814193800656308,0.2857269560072746,0.4072180277906545,-0.0501704024873446,2,6,0
154,483.26,158.09,-0.001523805333379,-0.2571700885795003,0.6795046894270069,-0.8276765844459779,0.2854144924956536,0.3146577247788613,-0.0509756407756833,2,7,0
155,457.16,153.68,-0.0118255779136958,-1.231724024584249,-0.3757552412641523,-0.8037556355665604,0.3292079933691081,0.4114341394988385,0.0782288962567073,2,8,0
156,443.59,144.52,0.0136029220537841,0.626330061037666,-0.2404123285110627,0.6344820181127385,0.3758266611812983,0.7318490439352924,0.0728851886548832,3,9,0
157,453.69,151.03,-0.0093578097610164,-0.7005597084604579,0.5754140465776599,-1.196179718382363,0.4202305455193051,0.8649555650029725,0.0084032027859222,3,10,0
158,464.15,149.45,0.0144664509315366,1.0121902472738735,-0.5794814080002209,1.2396992439783934,0.4230744744120391,0.8409057026948785,0.0023469676713996,3,11,0
159,461.7,149.9,-0.0036041937111702,-0.2178813844505677,0.6886835403884143,-0.1671768031862787,0.4260124457374826,0.8682337474544678,0.007316617838606,3,12,0
160,475.95,160.38,-0.016147119686949,-1.132079778887893,-0.5971674151489047,-0.6502234946354342,0.4563039975857502,0.840270740780315,-0.0100565190495613,4,13,0
161,485.09,161.24,0.0059384103573727,0.3946410090341124,0.3333138881675669,-0.1310971032186696,0.4164781494955076,0.8474335019980419,0.0073270753594582,4,14,0
162,478.79,159.51,-0.0009923762453765,0.0333054259763954,0.048839761006516,0.1646559287663617,0.3670851367502279,0.876321889403622,0.0028401958465966,4,15,0
163,466.13,159.02,-0.0103018503428261,-0.7666846461951858,-0.1505046967508819,-0.8491443393577887,0.3149817391360515,0.7146366179761167,-0.0574145050535306,4,16,0
164,456.2,153.16,0.0069546174798971,1.305223767907704,0.5309428198441132,0.5262950231225914,0.3000768449781018,0.6730585639072181,0.0380121426823752,4,17,0
165,452.58,157.26,-0.0149328364956361,-1.3904656543170306,-0.6054681905630255,-0.1995796473720359,0.2883603491478989,0.7998164061850563,-0.005104175146837,5,18,1
166,441.62,149.61,0.0110110237025249,1.6757501237303398,0.3169059296976932,0.6133502989649677,0.2773545430777981,0.9384277071907922,0.0084166866331527,5,19,-1
167,451.24,159.36,-0.0180598409988659,-1.78569020052582,-0.4843465635845172,-0.0672135438679874,0.3078000711609956,0.9033703625048058,-0.0238975672660997,5,20,0
168,472.33,164.6,0.0057874302807718,1.0121641227140998,0.3545584064688781,-0.6139564594359398,0.3123922995982799,0.8439943161637725,0.0104842516675511,5,21,0
169,463.78,164.48,-0.007616780832792,-0.5644888562178701,-0.80204068789914,0.6065630997656027,0.3005764881820209,0.9101863513291542,0.0088227049550917,6,23,0
170,475.83,168.44,0.0008076681752262,0.4202687207047135,0.9858024858127252,-0.5021919890039824,0.2786910820127001,0.9381014814434728,0.0146869510151225,6,24,0
171,464.61,164.15,0.0008410789093668,0.2876983154440324,-0.6901329834008177,0.6048216561003894,0.2838847587917627,0.9609824458755288,-0.0005209825098932,6,25,0
172,472.8,170.57,-0.0090728475890198,-0.6197966021288466,0.6859648363381223,-0.1345448313820668,0.2294261757026965,0.9273438481082544,-0.0253024322522797,6,26,0
173,473.28,168.32,0.0062076114265975,1.0118235179684614,0.8173564979983666,-0.0668695713295625,0.1857394234163838,0.7092651330952202,-0.0616405922091698,7,27,0
174,484.01,167.26,0.0124798122862782,1.1506257795398094,-1.233321960347352,1.7327240983565138,0.1887430528004058,0.4752983520907148,-0.0400284730201326,7,28,0
175,468.59,160.91,0.0027477392801504,0.1405330628349595,-0.2086834586738003,0.4464338680772353,0.1777360366788534,0.3975746240592494,0.0352150310442186,7,29,0
176,475.36,162.59,0.0017188219910435,-0.1742845655698626,-0.0309132788880653,0.0118396557912455,0.1958004522714822,0.2348948452993017,-0.0335344007788768,7,30,0
177,486.79,168.68,-0.0056507476920523,-0.8271280448654246,0.2477861412480295,-0.8639627968846335,0.1849426775372772,0.2260774601898988,-0.0211157879453985,8,31,0
178,482.26,171.0,-0.0099929242901615,-1.1567137788115287,-0.0500983372072627,-1.1000381588232806,0.176092042698535,0.4410594260345996,0.0820056665409072,8,32,0
