TimeStamp,Mapping,RAW
,0 => E:BNP from 787,
,1 => E:BNP from EQUITY_L2_973,
2021-11-01T14:02:13.3944000Z,1,Q|367185||1635775330602872334||0||||||||||140213384260081||
2021-11-01T14:02:13.3944000Z,1,Q|367186||1635775333384237577|59.27|178|0|||||||||140213384260081||
2021-11-01T14:02:13.3944000Z,1,Q|367187||1635775333384237577||0||||||||||140213388258190||
2021-11-01T14:02:13.3944000Z,1,Q|367188||1635775333388238564|59.28|178|0|||||||||140213388258190||
2021-11-01T14:02:13.3944000Z,1,Q|367189||1635775333388255582||||||59.8|176|0||||140213388276335||
2021-11-01T14:02:13.4075000Z,1,Q|367190||1635775333134489325||0||||||||||140213394232062||
2021-11-01T14:02:13.4075000Z,1,Q|367191||1635775333134244148||0|||||||||0|140213394286733||
2021-11-01T14:02:13.4075000Z,1,Q|367192||1635775333143398353|59.53|277|0||||||||0|||
2021-11-01T14:02:13.4168000Z,1,Q|367193||1635775333399673828||||||59.55|100|0||||140213399691313||
2021-11-01T14:02:13.4168000Z,1,Q|367194||1635775333400366398||||||59.69|1036|0||||140213400384553||
2021-11-01T14:02:13.4189000Z,1,Q|367195||1635775333137772279||0||||||||||140213407951582||
2021-11-01T14:02:13.4189000Z,1,Q|367196||1635775333143398353||0|||||||||0|140213408413988||
2021-11-01T14:02:13.4189000Z,1,Q|367197||1635775333166846720|59.53|34|0||||||||0|||
2021-11-01T14:02:13.4189000Z,1,Q|367198||1635775333166846720||0|||||||||0|140213408413988||
2021-11-01T14:02:13.4189000Z,1,Q|367199||1635775332155119956|59.52|5|0||||||||0|||
2021-11-01T14:02:13.4189000Z,1,Q|367200||1635775333408442344||||||59.54|180|0|||0|140213408460927||
2021-11-01T14:02:13.4189000Z,1,Q|367201||1635775333408450723||||||59.54|39|0||||140213408467908||
2021-11-01T14:02:13.4189000Z,1,Q|367202||1635775333142953102||0||||||||||140213408495949||
2021-11-01T14:02:13.4189000Z,1,Q|367203||1635775333230341581||0||||||||||140213408519263||
2021-11-01T14:02:13.4189000Z,1,Q|367204||1635775333408489307||||||59.54|123|0||||140213408519263||
2021-11-01T14:02:13.4189000Z,1,Q|367205||1635775333408494363||||||59.54|125|0||||140213408519263||
2021-11-01T14:02:13.4189000Z,1,Q|367206||1635775333218743045||0||||||||||140213408534267||
2021-11-01T14:02:13.4189000Z,1,Q|367207||1635775333408450723|||||||0|||||140213408554395||
2021-11-01T14:02:13.4189000Z,1,Q|367208||1635775331541757770||0||||||||||140213408554395||
2021-11-01T14:02:13.4189000Z,1,Q|367209||1635775333408525996|58.32|18|0|||||||||140213408554395||
2021-11-01T14:02:13.4189000Z,1,Q|367210||1635775333184617502|||||||0|||||140213408572977||
2021-11-01T14:02:13.4189000Z,1,Q|367211||1635775333408543931||||||59.54|98|0||||140213408572977||
2021-11-01T14:02:13.4189000Z,1,Q|367212||1635775333408549044||||||59.57|84|0||||140213408572977||
2021-11-01T14:02:13.4189000Z,1,Q|367213||1635775333408556267||||||59.54|68|0||||140213408594212||
2021-11-01T14:02:13.4189000Z,1,Q|367214||1635775333133257202||0||||||||||140213408594212||
2021-11-01T14:02:13.4189000Z,1,Q|367215||1635775333132547724||0||||||||||140213408594212||
2021-11-01T14:02:13.4189000Z,1,Q|367216||1635775332662535271||0||||||||||140213408933824||
2021-11-01T14:02:13.4189000Z,1,Q|367217||1635775332739150255||0||||||||||140213408976257||
